miRNA,Tau_TCGA,TCGA_tissues,Tau_GTEx,GTEx_tissues,Delta_Tau,DE_n_projects_up,DE_n_projects_down,DE_median_log2fc,DE_median_padj,binom_p_up,binom_p_down,Binomial_result,CPM_GTEx_mean,CPM_GTEx_max,CPM_TCGA_mean,CPM_TCGA_max,TCGA_GTEx_log2FC,MW_statistic_TCGA_GTEx,TCGA_GTEx_p_value,TCGA_GTEx_padj,TCGA_GTEx_Direction,Specificity_class,Dysregulated_class
hsa-mir-501-3p,0.249,"Skin [0.05], Ovary [0.05], Lymph nodes [0.04]",0.468,"Whole Blood [0.07], Kidney [0.06], Testis [0.05]",-0.219,4,2,0.383,5.64e-08,3.44e-01,8.91e-01,NS,36.352,292.596,141.585,528.191,2.383,45.0,1.39e-07,7.03e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-197-3p,0.248,"Ovary [0.05], Bone Marrow [0.05], Fallopian tube [0.05]",0.316,"Whole Blood [0.06], Heart [0.05], Spleen [0.04]",-0.068,0,1,0.375,2.19e-04,1.00e+00,5.00e-01,NS,479.059,4132.754,1088.078,6583.346,1.298,85.0,6.40e-06,1.76e-05,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-589-5p,0.247,"Lymph nodes [0.05], Bone Marrow [0.05], Skin [0.05]",0.508,"Whole Blood [0.08], Spleen [0.05], Testis [0.05]",-0.261,3,1,0.646,1.34e-11,3.12e-01,9.38e-01,NS,32.8,367.491,165.339,594.554,2.774,22.0,1.20e-08,1.03e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-29b-2-5p,0.247,"Thymus [0.05], Thorax [0.05], Lymph nodes [0.05]",0.343,"Heart [0.06], Adrenal Gland [0.06], Brain [0.05]",-0.096,0,3,-0.767,2.07e-10,1.00e+00,1.25e-01,NS,8.893,23.095,81.898,239.192,2.923,8.0,2.47e-09,3.47e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-3065-3p,0.247,"Thymus [0.05], Adrenal Gland [0.05], Thorax [0.05]",0.564,"Lung [0.08], Brain [0.08], Kidney [0.07]",-0.317,5,4,0.89,7.88e-12,5.00e-01,7.46e-01,NS,8.504,46.467,121.948,332.377,3.867,15.0,5.49e-09,5.69e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-744-5p,0.247,"Fallopian tube [0.05], Bone Marrow [0.05], Ovary [0.05]",0.206,"Brain [0.05], Whole Blood [0.05], Skin [0.04]",0.041,0,2,0.394,5.44e-11,1.00e+00,2.50e-01,NS,330.288,1132.669,98.118,337.32,-1.734,613.0,6.06e-08,3.36e-07,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-150-5p,0.246,"Bone Marrow [0.05], Lymph nodes [0.05], Thymus [0.05]",0.3,"Spleen [0.05], Whole Blood [0.05], Omentum [0.05]",-0.054,0,4,-1.001,1.45e-04,1.00e+00,6.25e-02,NS,1145.391,8355.495,2458.608,13773.201,1.227,167.0,3.00e-03,4.91e-03,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-185-5p,0.243,"Bone Marrow [0.05], Skin [0.05], Lung [0.05]",0.474,"Whole Blood [0.07], Spleen [0.05], Lung [0.05]",-0.232,4,0,0.862,2.44e-11,6.25e-02,1.00e+00,NS,263.733,4110.397,244.557,895.56,0.994,173.0,4.31e-03,6.76e-03,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-221-3p,0.242,"Fallopian tube [0.05], Bone Marrow [0.05], Pancreas [0.05]",0.132,"Heart [0.04], Mucosa [0.04], Prostate [0.04]",0.11,4,2,0.604,1.23e-08,3.44e-01,8.91e-01,NS,2791.081,6442.12,1640.293,8643.44,-1.015,463.0,9.58e-03,1.43e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-24-1-5p,0.242,"Pancreas [0.05], Lung [0.05], Kidney [0.05]",0.127,"Heart [0.04], Mucosa [0.04], Fallopian Tube [0.04]",0.115,1,4,-0.822,4.41e-09,9.69e-01,1.88e-01,NS,146.493,250.219,23.21,48.625,-2.658,629.0,1.07e-08,9.62e-08,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-324-5p,0.24,"Bone Marrow [0.05], Fallopian tube [0.05], Lymph nodes [0.05]",0.435,"Whole Blood [0.07], Kidney [0.05], Brain [0.05]",-0.195,4,1,0.597,2.73e-13,1.88e-01,9.69e-01,NS,29.681,198.435,77.177,235.45,1.651,69.0,1.48e-06,5.11e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-130b-5p,0.239,"Bone Marrow [0.05], Lymph nodes [0.05], Fallopian tube [0.05]",0.458,"Whole Blood [0.07], Pancreas [0.06], Liver [0.05]",-0.218,7,1,1.207,1.85e-14,3.52e-02,9.96e-01,UP,53.748,458.18,81.803,222.571,1.067,155.0,1.40e-03,2.46e-03,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-542-3p,0.238,"Thyroid [0.05], Testis [0.05], Soft Tissues [0.05]",0.492,"Testis [0.07], Fallopian Tube [0.07], Spleen [0.06]",-0.253,2,1,0.389,2.24e-06,5.00e-01,8.75e-01,NS,20.205,110.671,578.151,2142.497,4.943,30.0,2.87e-08,1.83e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-125a-5p,0.237,"Fallopian tube [0.05], Kidney [0.05], Pancreas [0.05]",0.088,"Adrenal Gland [0.04], Thyroid [0.04], Omentum [0.04]",0.149,2,4,-0.6,1.13e-11,8.91e-01,3.44e-01,NS,10647.046,21952.29,4226.308,27088.972,-1.908,568.0,4.89e-06,1.40e-05,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-374a-5p,0.236,"Bone Marrow [0.05], Kidney [0.05], Lymph nodes [0.05]",0.105,"Spleen [0.04], Lung [0.04], Omentum [0.04]",0.131,1,2,-0.367,1.36e-07,8.75e-01,5.00e-01,NS,1452.666,2802.603,87.793,248.87,-4.135,633.0,6.87e-09,6.77e-08,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-582-3p,0.235,"Bone Marrow [0.05], Skin [0.05], Bladder [0.05]",0.486,"Bladder [0.07], Brain [0.07], Prostate [0.07]",-0.252,2,3,0.43,1.16e-05,8.12e-01,5.00e-01,NS,22.897,101.77,507.803,1859.424,4.958,15.0,5.49e-09,5.69e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-29c-5p,0.235,"Thymus [0.05], Thorax [0.05], Thyroid [0.05]",0.169,"Heart [0.05], Adrenal Gland [0.04], Kidney [0.04]",0.066,0,3,-0.775,3.17e-11,1.00e+00,1.25e-01,NS,199.939,491.154,63.493,178.251,-1.739,606.0,1.26e-07,6.68e-07,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-let-7d-5p,0.232,"Fallopian tube [0.05], Lung [0.05], Pancreas [0.05]",0.094,"Lung [0.04], Spleen [0.04], Heart [0.04]",0.138,0,0,0.332,2.79e-07,–,–,NS,1765.438,3376.374,1106.075,5740.126,-0.993,514.0,3.83e-04,7.46e-04,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-193a-5p,0.232,"Ovary [0.05], Skin [0.05], Liver–Gallbladder [0.05]",0.323,"Omentum [0.06], Breast [0.05], Soft Tissues [0.05]",-0.091,2,2,-0.492,6.73e-10,6.88e-01,6.88e-01,NS,153.439,878.727,574.429,2550.591,2.06,74.0,2.36e-06,7.49e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-193b-3p,0.231,"Fallopian tube [0.05], Mucosa [0.05], Breast [0.05]",0.234,"Adrenal Gland [0.05], Omentum [0.05], Skin [0.05]",-0.003,4,1,0.661,2.43e-07,1.88e-01,9.69e-01,NS,188.781,625.248,241.895,850.09,0.38,236.0,9.54e-02,1.22e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-374b-5p,0.227,"Bone Marrow [0.05], Kidney [0.05], Testis [0.05]",0.094,"Brain [0.04], Spleen [0.04], Kidney [0.04]",0.133,1,2,-0.513,3.75e-07,8.75e-01,5.00e-01,NS,510.306,861.487,173.116,594.048,-1.677,599.0,2.56e-07,1.17e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-26b-3p,0.226,"Bone Marrow [0.05], Fallopian tube [0.05], Thyroid [0.05]",0.4,"Whole Blood [0.06], Spleen [0.05], Kidney [0.04]",-0.174,0,2,-0.587,9.15e-06,1.00e+00,2.50e-01,NS,12.529,54.991,48.513,120.851,1.885,22.0,1.20e-08,1.03e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-452-5p,0.225,"Mucosa [0.05], Liver–Gallbladder [0.05], Bladder [0.05]",0.385,"Omentum [0.06], Breast [0.06], Mucosa [0.05]",-0.16,7,1,1.282,6.63e-15,3.52e-02,9.96e-01,UP,83.933,466.215,181.674,508.902,1.458,161.0,2.07e-03,3.49e-03,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-218-5p,0.224,"Lung [0.05], Kidney [0.05], Thorax [0.05]",0.178,"Brain [0.05], Spleen [0.04], Lung [0.04]",0.046,2,6,-0.97,5.29e-10,9.65e-01,1.45e-01,NS,8748.217,35173.701,203.67,560.278,-5.402,645.0,1.74e-09,3.12e-08,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-338-3p,0.224,"Brain [0.05], Skin [0.05], Stomach [0.05]",0.441,"Brain [0.07], Soft Tissues [0.06], Lung [0.05]",-0.218,2,4,-0.771,2.47e-11,8.91e-01,3.44e-01,NS,175.545,1800.156,1404.272,5765.291,3.685,48.0,1.89e-07,9.19e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-26a-5p,0.221,"Fallopian tube [0.05], Pancreas [0.05], Lung [0.05]",0.047,"Spleen [0.04], Lung [0.04], Ovary [0.04]",0.174,0,6,-0.75,1.63e-15,1.00e+00,1.56e-02,DOWN,140019.593,227711.58,18268.981,127000.755,-3.729,637.0,4.37e-09,4.92e-08,GTEx_UP,Non-specific miR,DOWNREGULATED
hsa-mir-199a-5p,0.219,"Soft Tissues [0.05], Peritoneum [0.05], Testis [0.05]",0.127,"Ovary [0.04], Spleen [0.04], Breast [0.04]",0.092,2,5,-1.147,6.69e-11,9.38e-01,2.27e-01,NS,1650.928,3633.646,2138.915,8819.107,-0.027,356.0,5.66e-01,6.05e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-652-3p,0.218,"Bone Marrow [0.05], Lung [0.05], Skin [0.05]",0.349,"Whole Blood [0.06], Lung [0.05], Omentum [0.05]",-0.131,2,4,-0.416,9.12e-12,8.91e-01,3.44e-01,NS,1199.114,14460.019,86.311,238.19,-2.959,645.0,1.74e-09,3.12e-08,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-24-2-5p,0.218,"Mucosa [0.05], Pancreas [0.05], Lung [0.05]",0.164,"Skin [0.05], Spleen [0.05], Lung [0.05]",0.054,3,2,0.69,5.84e-07,5.00e-01,8.12e-01,NS,201.962,420.826,52.545,122.115,-1.857,580.0,1.62e-06,5.42e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-181c-3p,0.216,"Bone Marrow [0.05], Brain [0.05], Fallopian tube [0.05]",0.528,"Brain [0.08], Thyroid [0.05], Heart [0.05]",-0.312,6,1,1.133,6.27e-12,6.25e-02,9.92e-01,NS,5.238,28.861,141.155,399.904,4.481,0.0,9.70e-10,2.84e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-424-5p,0.211,"Thyroid [0.05], Testis [0.05], Kidney [0.05]",0.423,"Fallopian Tube [0.06], Testis [0.06], Ovary [0.06]",-0.212,4,4,0.328,1.38e-10,6.37e-01,6.37e-01,NS,95.811,540.723,255.298,792.628,2.259,114.0,7.30e-05,1.62e-04,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-30a-3p,0.211,"Kidney [0.05], Thyroid [0.05], Breast [0.05]",0.252,"Kidney [0.05], Lung [0.05], Thyroid [0.05]",-0.041,0,9,-1.546,9.09e-16,1.00e+00,1.95e-03,DOWN,942.958,5079.92,8523.346,46192.177,3.004,36.0,5.45e-08,3.07e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-874-3p,0.209,"Fallopian tube [0.05], Lymph nodes [0.05], Thyroid [0.05]",0.25,"Heart [0.05], Brain [0.05], Thyroid [0.05]",-0.041,1,3,-0.434,6.39e-06,9.38e-01,3.12e-01,NS,196.636,693.005,104.252,271.435,-0.732,435.0,3.91e-02,5.31e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-15b-5p,0.208,"Bone Marrow [0.05], Lymph nodes [0.05], Ovary [0.05]",0.313,"Whole Blood [0.05], Spleen [0.05], Lung [0.05]",-0.105,2,2,0.595,2.15e-09,6.88e-01,6.88e-01,NS,338.676,2318.657,1116.165,4380.458,1.845,80.0,4.09e-06,1.19e-05,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-660-5p,0.205,"Kidney [0.05], Pancreas [0.05], Lung [0.05]",0.354,"Kidney [0.06], Testis [0.05], Spleen [0.05]",-0.149,2,3,0.056,1.23e-11,8.12e-01,5.00e-01,NS,60.363,345.815,192.352,395.943,1.824,53.0,3.13e-07,1.35e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-let-7i-5p,0.203,"Fallopian tube [0.05], Pancreas [0.05], Lung [0.05]",0.106,"Thyroid [0.04], Spleen [0.04], Omentum [0.04]",0.097,0,0,0.32,3.75e-06,–,–,NS,31219.979,86577.552,2500.309,10449.873,-3.991,648.0,1.23e-09,2.84e-08,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-708-3p,0.202,"Mucosa [0.05], Brain [0.05], Testis [0.05]",0.495,"Ovary [0.07], Thyroid [0.06], Brain [0.06]",-0.293,6,1,1.005,3.05e-10,6.25e-02,9.92e-01,NS,31.607,248.876,151.888,394.15,2.7,57.0,4.65e-07,1.91e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-132-3p,0.2,"Thorax [0.05], Thymus [0.05], Adrenal Gland [0.05]",0.249,"Brain [0.05], Adrenal Gland [0.05], Testis [0.04]",-0.048,2,1,0.017,3.22e-08,5.00e-01,8.75e-01,NS,1000.822,5977.093,395.205,1268.976,-1.193,537.0,6.74e-05,1.53e-04,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-30c-5p,0.196,"Kidney [0.05], Fallopian tube [0.05], Bone Marrow [0.04]",0.198,"Whole Blood [0.05], Kidney [0.05], Heart [0.04]",-0.002,0,2,-0.572,1.29e-07,1.00e+00,2.50e-01,NS,1232.474,4876.887,2267.181,8799.429,0.938,122.0,1.36e-04,2.86e-04,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-378a-3p,0.191,"Fallopian tube [0.05], Ovary [0.05], Lymph nodes [0.05]",0.214,"Heart [0.05], Soft Tissues [0.05], Omentum [0.04]",-0.023,1,5,-0.942,4.41e-13,9.84e-01,1.09e-01,NS,8428.965,44334.165,2169.058,7934.541,-1.71,510.0,5.08e-04,9.67e-04,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-374a-3p,0.191,"Testis [0.05], Bone Marrow [0.05], Lymph nodes [0.05]",0.186,"Spleen [0.05], Omentum [0.04], Breast [0.04]",0.005,0,0,0.276,1.68e-05,–,–,NS,53.619,108.486,1559.443,4838.64,4.484,49.0,2.09e-07,9.93e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-181a-2-3p,0.186,"Thyroid [0.05], Skin [0.05], Bone Marrow [0.05]",0.265,"Whole Blood [0.05], Skin [0.05], Heart [0.05]",-0.079,2,0,0.643,1.54e-04,2.50e-01,1.00e+00,NS,83.858,271.294,2296.121,9061.268,4.736,0.0,9.70e-10,2.84e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-let-7g-5p,0.182,"Pancreas [0.05], Lung [0.05], Fallopian tube [0.05]",0.091,"Spleen [0.04], Heart [0.04], Thyroid [0.04]",0.092,1,0,0.231,4.48e-04,5.00e-01,1.00e+00,NS,31708.637,75329.017,4563.783,14757.51,-3.245,640.0,3.11e-09,4.08e-08,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-505-3p,0.182,"Bone Marrow [0.05], Kidney [0.05], Lymph nodes [0.05]",0.198,"Liver [0.05], Whole Blood [0.05], Spleen [0.05]",-0.017,0,0,-0.142,4.39e-10,–,–,NS,196.73,550.281,134.228,308.381,-0.54,437.0,3.56e-02,4.89e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-126-5p,0.18,"Kidney [0.05], Fallopian tube [0.05], Lung [0.05]",0.23,"Lung [0.05], Spleen [0.05], Omentum [0.05]",-0.05,1,6,-1.068,8.31e-28,9.92e-01,6.25e-02,NS,320.093,1033.272,489.569,1512.159,0.84,198.0,1.71e-02,2.47e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-148b-3p,0.179,"Fallopian tube [0.05], Kidney [0.04], Lung [0.04]",0.118,"Kidney [0.04], Thyroid [0.04], Lung [0.04]",0.06,2,0,0.704,9.44e-14,2.50e-01,1.00e+00,NS,2047.615,4845.336,381.341,1136.354,-2.426,647.0,1.38e-09,3.02e-08,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-26b-5p,0.177,"Lung [0.05], Pancreas [0.05], Kidney [0.05]",0.102,"Spleen [0.04], Kidney [0.04], Thyroid [0.04]",0.075,0,0,-0.606,3.46e-10,–,–,NS,9138.781,21696.634,2892.273,9077.632,-1.937,586.0,9.18e-07,3.41e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-1307-3p,0.174,"Ovary [0.05], Lymph nodes [0.05], Bone Marrow [0.05]",0.171,"Whole Blood [0.05], Spleen [0.04], Heart [0.04]",0.003,7,1,0.999,3.15e-17,3.52e-02,9.96e-01,UP,988.795,2907.567,2753.114,9300.577,1.425,111.0,5.75e-05,1.33e-04,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-93-5p,0.173,"Bone Marrow [0.05], Lymph nodes [0.05], Skin [0.04]",0.216,"Whole Blood [0.05], Spleen [0.04], Lung [0.04]",-0.043,12,0,1.262,9.75e-22,2.44e-04,1.00e+00,UP,741.075,3183.556,17187.476,78450.639,4.391,0.0,9.70e-10,2.84e-08,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-199b-3p,0.173,"Pancreas [0.05], Soft Tissues [0.05], Peritoneum [0.05]",0.127,"Ovary [0.04], Skin [0.04], Breast [0.04]",0.046,2,5,-0.529,1.15e-07,9.38e-01,2.27e-01,NS,4636.065,10311.125,5758.208,18660.532,0.145,332.0,9.03e-01,9.12e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-199a-3p,0.173,"Pancreas [0.05], Soft Tissues [0.05], Peritoneum [0.05]",0.127,"Ovary [0.04], Skin [0.04], Breast [0.04]",0.046,2,5,-0.512,1.29e-07,9.38e-01,2.27e-01,NS,4636.065,10311.125,5778.189,18702.45,0.151,332.0,9.03e-01,9.12e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-106b-3p,0.172,"Lymph nodes [0.05], Bone Marrow [0.05], Ovary [0.05]",0.383,"Whole Blood [0.06], Spleen [0.05], Lung [0.04]",-0.211,6,0,1.025,1.22e-14,1.56e-02,1.00e+00,UP,163.304,1609.508,791.503,2228.497,2.604,28.0,2.31e-08,1.63e-07,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-125b-5p,0.171,"Pancreas [0.05], Brain [0.05], Thymus [0.05]",0.107,"Ovary [0.04], Thyroid [0.04], Fallopian Tube [0.04]",0.064,2,6,-0.711,5.31e-10,9.65e-01,1.45e-01,NS,12408.254,28749.024,4304.074,12609.766,-1.878,548.0,2.76e-05,6.75e-05,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-365a-3p,0.17,"Pancreas [0.05], Kidney [0.05], Mucosa [0.05]",0.257,"Omentum [0.05], Adrenal Gland [0.05], Breast [0.05]",-0.087,1,5,-0.699,7.94e-11,9.84e-01,1.09e-01,NS,101.233,355.312,147.055,288.493,0.616,194.0,1.39e-02,2.03e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-365b-3p,0.17,"Pancreas [0.05], Kidney [0.05], Mucosa [0.05]",0.257,"Omentum [0.05], Adrenal Gland [0.05], Breast [0.05]",-0.087,1,5,-0.699,7.94e-11,9.84e-01,1.09e-01,NS,101.233,355.312,147.059,288.502,0.616,194.0,1.39e-02,2.03e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-28-5p,0.17,"Pancreas [0.05], Lung [0.05], Fallopian tube [0.05]",0.14,"Esophagus [0.04], Colon–Intestine [0.04], Bladder [0.04]",0.029,0,3,-0.664,4.51e-15,1.00e+00,1.25e-01,NS,468.595,1009.003,295.043,679.344,-0.64,474.0,5.14e-03,7.91e-03,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-let-7a-3p,0.17,"Uterus [0.05], Bone Marrow [0.05], Thymus [0.05]",0.094,"Adrenal Gland [0.04], Omentum [0.04], Lung [0.04]",0.076,0,0,0.293,1.80e-05,–,–,NS,194.17,307.312,70.193,139.652,-1.581,622.0,2.31e-08,1.63e-07,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-99b-5p,0.167,"Ovary [0.05], Skin [0.04], Adrenal Gland [0.04]",0.095,"Adrenal Gland [0.04], Heart [0.04], Kidney [0.04]",0.073,2,1,0.087,4.39e-06,5.00e-01,8.75e-01,NS,5247.319,10514.502,50634.94,277824.677,3.078,1.0,1.09e-09,2.84e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-100-5p,0.167,"Thymus [0.05], Thorax [0.05], Thyroid [0.04]",0.08,"Thyroid [0.04], Ovary [0.04], Fallopian Tube [0.04]",0.087,2,7,-1.248,4.30e-12,9.80e-01,8.98e-02,NS,19041.267,36076.604,12312.816,48367.825,-0.928,488.0,2.20e-03,3.66e-03,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-23b-3p,0.163,"Pancreas [0.05], Lung [0.05], Kidney [0.05]",0.121,"Heart [0.04], Mucosa [0.04], Esophagus [0.04]",0.042,1,2,-0.576,5.28e-12,8.75e-01,5.00e-01,NS,9005.977,24071.938,2810.167,8465.21,-1.772,580.0,1.62e-06,5.42e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-361-3p,0.162,"Lymph nodes [0.05], Bone Marrow [0.05], Skin [0.04]",0.206,"Spleen [0.05], Whole Blood [0.05], Adrenal Gland [0.04]",-0.045,0,0,0.431,1.09e-08,–,–,NS,324.86,1109.485,512.05,1371.68,0.681,156.0,1.50e-03,2.60e-03,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-29c-3p,0.161,"Thyroid [0.05], Thymus [0.05], Thorax [0.05]",0.15,"Spleen [0.04], Brain [0.04], Kidney [0.04]",0.011,0,7,-1.148,1.13e-14,1.00e+00,7.81e-03,DOWN,305.368,670.633,3395.543,9385.378,3.165,50.0,2.31e-07,1.07e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-99a-5p,0.159,"Thymus [0.05], Brain [0.05], Thorax [0.05]",0.098,"Ovary [0.04], Uterus–Cervix [0.04], Vagina [0.04]",0.061,2,5,-0.754,6.47e-09,9.38e-01,2.27e-01,NS,152314.606,368096.442,2074.153,5894.036,-6.254,650.0,9.70e-10,2.84e-08,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-210-3p,0.155,"Lymph nodes [0.05], Uterus [0.05], Kidney [0.04]",0.23,"Skin [0.05], Mucosa [0.05], Whole Blood [0.05]",-0.075,13,1,2.464,1.68e-30,9.16e-04,1.00e+00,UP,141.223,434.315,1500.922,3721.895,3.339,20.0,9.61e-09,8.81e-08,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-1307-5p,0.152,"Lymph nodes [0.05], Thorax [0.05], Bone Marrow [0.04]",0.309,"Kidney [0.05], Spleen [0.05], Brain [0.05]",-0.157,8,0,1.401,8.19e-23,3.91e-03,1.00e+00,UP,36.52,133.776,622.873,1488.463,4.045,0.0,9.70e-10,2.84e-08,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-183-5p,0.148,"Testis [0.05], Breast [0.05], Bladder [0.04]",0.308,"Whole Blood [0.05], Salivary Gland [0.05], Mucosa [0.05]",-0.161,14,0,2.211,6.34e-22,6.10e-05,1.00e+00,UP,134.555,423.052,13540.677,39859.719,7.049,0.0,9.70e-10,2.84e-08,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-92a-3p,0.147,"Lymph nodes [0.05], Bone Marrow [0.05], Ovary [0.05]",0.336,"Whole Blood [0.06], Spleen [0.04], Liver [0.04]",-0.189,1,1,0.744,3.61e-08,7.50e-01,7.50e-01,NS,24090.984,465423.09,43790.107,164426.405,2.165,49.0,2.09e-07,9.93e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-25-3p,0.143,"Bone Marrow [0.05], Lymph nodes [0.04], Skin [0.04]",0.323,"Whole Blood [0.06], Spleen [0.04], Lung [0.04]",-0.18,3,0,0.692,5.90e-10,1.25e-01,1.00e+00,NS,6369.587,98682.428,20008.019,75634.048,2.582,28.0,2.31e-08,1.63e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-140-3p,0.143,"Bone Marrow [0.05], Skin [0.05], Lymph nodes [0.04]",0.231,"Whole Blood [0.05], Spleen [0.05], Soft Tissues [0.05]",-0.088,0,6,-0.963,6.19e-22,1.00e+00,1.56e-02,DOWN,1128.533,5761.805,2978.588,9063.905,1.577,70.0,1.62e-06,5.42e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-let-7e-5p,0.14,"Fallopian tube [0.05], Adrenal Gland [0.05], Soft Tissues [0.04]",0.221,"Heart [0.05], Adrenal Gland [0.04], Kidney [0.04]",-0.081,1,2,0.253,6.75e-06,8.75e-01,5.00e-01,NS,200.723,630.804,3361.929,9553.738,4.143,0.0,9.70e-10,2.84e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-23a-3p,0.136,"Pancreas [0.05], Lung [0.05], Mucosa [0.04]",0.127,"Skin [0.04], Lung [0.04], Soft Tissues [0.04]",0.009,1,0,0.576,3.42e-08,5.00e-01,1.00e+00,NS,3528.404,8852.53,7661.452,23056.682,1.129,129.0,2.30e-04,4.62e-04,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-27a-3p,0.136,"Mucosa [0.05], Pancreas [0.04], Lung [0.04]",0.114,"Skin [0.04], Spleen [0.04], Lung [0.04]",0.022,1,0,0.37,6.02e-05,5.00e-01,1.00e+00,NS,7845.32,19037.377,2655.061,7164.204,-1.545,569.0,4.47e-06,1.30e-05,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-30b-5p,0.136,"Lung [0.05], Kidney [0.05], Bone Marrow [0.05]",0.19,"Kidney [0.05], Lung [0.05], Heart [0.04]",-0.054,0,3,-0.864,1.32e-12,1.00e+00,1.25e-01,NS,1334.169,5401.611,1085.755,2522.637,-0.236,349.0,6.58e-01,6.93e-01,NS,Non-specific miR,NOT_SIGNIFICANT
