,mature_name,Tau_tcga,tcga_tissues
51,hsa-mir-518b,0.7162880131774995,"Thymus [0.13], Thorax [0.13], Testis [0.13]"
52,hsa-mir-517b-3p,0.713596753984791,"Thymus [0.13], Thorax [0.12], Testis [0.12]"
53,hsa-mir-517a-3p,0.7135269036757683,"Thymus [0.13], Thorax [0.12], Testis [0.12]"
54,hsa-mir-508-5p,0.7112876078458455,"Skin [0.13], Adrenal Gland [0.11], Ovary [0.11]"
55,hsa-mir-539-3p,0.6910162391867044,"Testis [0.12], Adrenal Gland [0.12], Peritoneum [0.09]"
56,hsa-mir-223-5p,0.6886880305026613,"Bone Marrow [0.12], Lymph nodes [0.07], Lung [0.06]"
57,hsa-mir-885-5p,0.6875235127249567,"Liver–Gallbladder [0.12], Ovary [0.09], Brain [0.08]"
58,hsa-mir-519a-5p,0.680749714893692,"Thymus [0.12], Thorax [0.11], Testis [0.11]"
59,hsa-mir-30c-1-3p,0.679440301942481,"Fallopian tube [0.12], Ovary [0.07], Colon [0.05]"
60,hsa-mir-376b-3p,0.6661544479619533,"Testis [0.11], Adrenal Gland [0.08], Peritoneum [0.08]"
61,hsa-mir-3909,0.6629852142940601,"Fallopian tube [0.11], Pancreas [0.07], Lung [0.07]"
62,hsa-mir-133b,0.6621655133569054,"Mucosa [0.11], Soft Tissues [0.07], Prostate [0.07]"
63,hsa-mir-376a-3p,0.6587774694992232,"Testis [0.11], Adrenal Gland [0.08], Peritoneum [0.08]"
64,hsa-mir-125b-1-3p,0.6550835954415215,"Fallopian tube [0.11], Ovary [0.08], Brain [0.06]"
65,hsa-mir-129-2-3p,0.6523731713823282,"Adrenal Gland [0.11], Brain [0.10], Lymph nodes [0.10]"
66,hsa-mir-379-3p,0.6496550784100935,"Testis [0.11], Peritoneum [0.07], Adrenal Gland [0.07]"
67,hsa-mir-760,0.6491829220268064,"Ovary [0.11], Skin [0.08], Lymph nodes [0.06]"
68,hsa-mir-154-3p,0.6429338007577736,"Testis [0.10], Adrenal Gland [0.08], Peritoneum [0.07]"
69,hsa-mir-487a-5p,0.6422116616514999,"Adrenal Gland [0.10], Testis [0.08], Peritoneum [0.08]"
70,hsa-mir-299-3p,0.6410524076228925,"Testis [0.10], Peritoneum [0.08], Soft Tissues [0.07]"
