,mature_name,Tau_gtex,gtex_tissues
100,hsa-mir-485-3p,0.6332342160271395,"Brain [0.10], Adrenal Gland [0.10], Whole Blood [0.07]"
101,hsa-mir-323a-3p,0.63236170911804,"Brain [0.10], Adrenal Gland [0.10], Spleen [0.06]"
102,hsa-mir-584-5p,0.6318910392218905,"Whole Blood [0.10], Brain [0.09], Heart [0.08]"
103,hsa-mir-129-5p,0.6298150018568094,"Brain [0.10], Testis [0.08], Adrenal Gland [0.07]"
104,hsa-mir-483-3p,0.6296716691664245,"Liver [0.10], Adrenal Gland [0.07], Omentum [0.07]"
105,hsa-mir-539-5p,0.6282353926638273,"Brain [0.10], Adrenal Gland [0.10], Spleen [0.06]"
106,hsa-mir-138-5p,0.6261999944253029,"Brain [0.10], Thyroid [0.09], Kidney [0.07]"
107,hsa-mir-379-3p,0.6237552348104451,"Adrenal Gland [0.10], Brain [0.09], Testis [0.06]"
108,hsa-mir-31-5p,0.6213781018488206,"Mucosa [0.10], Bladder [0.08], Testis [0.07]"
109,hsa-mir-410-3p,0.6120824455694515,"Brain [0.09], Adrenal Gland [0.08], Spleen [0.06]"
110,hsa-mir-154-3p,0.611963956643131,"Brain [0.09], Adrenal Gland [0.09], Spleen [0.06]"
111,hsa-mir-889-3p,0.6100074387300528,"Adrenal Gland [0.09], Brain [0.09], Spleen [0.06]"
112,hsa-mir-487a-5p,0.6014086509743892,"Brain [0.09], Adrenal Gland [0.09], Testis [0.06]"
113,hsa-mir-760,0.5932108046368195,"Testis [0.09], Brain [0.08], Omentum [0.06]"
114,hsa-mir-196b-5p,0.5930209978298112,"Uterus–Cervix [0.09], Colon–Intestine [0.08], Vagina [0.08]"
115,hsa-mir-299-3p,0.5929386671519743,"Adrenal Gland [0.09], Brain [0.07], Ovary [0.07]"
116,hsa-mir-34c-5p,0.590500299969099,"Fallopian Tube [0.09], Testis [0.09], Lung [0.08]"
117,hsa-mir-409-5p,0.5864733684815617,"Adrenal Gland [0.09], Brain [0.07], Spleen [0.06]"
118,hsa-mir-377-5p,0.5843374332153662,"Adrenal Gland [0.09], Brain [0.07], Testis [0.06]"
119,hsa-mir-376a-3p,0.5812965705133777,"Adrenal Gland [0.09], Brain [0.08], Spleen [0.05]"
120,hsa-mir-576-5p,0.5803241693626844,"Whole Blood [0.09], Spleen [0.05], Liver [0.05]"
121,hsa-mir-483-5p,0.5747117302042372,"Liver [0.09], Omentum [0.07], Heart [0.07]"
122,hsa-mir-3200-3p,0.5741648908929811,"Brain [0.09], Whole Blood [0.08], Adrenal Gland [0.06]"
123,hsa-mir-450b-5p,0.5735894735189188,"Testis [0.09], Fallopian Tube [0.08], Spleen [0.07]"
124,hsa-mir-212-3p,0.5707335347900363,"Brain [0.09], Adrenal Gland [0.07], Kidney [0.05]"
125,hsa-mir-505-5p,0.5694572881620976,"Whole Blood [0.09], Spleen [0.06], Kidney [0.05]"
126,hsa-mir-3065-3p,0.5637988018402297,"Lung [0.08], Brain [0.08], Kidney [0.07]"
127,hsa-mir-15b-3p,0.5633942606937176,"Whole Blood [0.08], Spleen [0.06], Lung [0.05]"
128,hsa-mir-766-3p,0.5607453451683602,"Whole Blood [0.08], Testis [0.07], Adrenal Gland [0.06]"
129,hsa-mir-223-5p,0.5535487593591559,"Spleen [0.08], Lung [0.07], Omentum [0.06]"
130,hsa-mir-127-5p,0.5498532639366153,"Adrenal Gland [0.08], Brain [0.08], Testis [0.06]"
131,hsa-mir-7-5p,0.5484279754141803,"Brain [0.08], Adrenal Gland [0.08], Thyroid [0.07]"
132,hsa-mir-9-3p,0.545031449806566,"Brain [0.08], Adrenal Gland [0.04], Kidney [0.04]"
133,hsa-mir-25-5p,0.543156931400067,"Whole Blood [0.08], Testis [0.06], Skin [0.05]"
134,hsa-mir-493-3p,0.5430752618258742,"Adrenal Gland [0.08], Spleen [0.06], Ovary [0.06]"
135,hsa-mir-502-3p,0.5407769101193886,"Kidney [0.08], Spleen [0.06], Testis [0.05]"
136,hsa-mir-377-3p,0.5400402164279581,"Adrenal Gland [0.08], Spleen [0.07], Brain [0.06]"
137,hsa-mir-136-5p,0.5358804326944879,"Adrenal Gland [0.08], Brain [0.06], Spleen [0.05]"
138,hsa-mir-433-3p,0.5330392768366627,"Brain [0.08], Adrenal Gland [0.07], Testis [0.05]"
139,hsa-mir-135a-5p,0.5312263251954826,"Thyroid [0.08], Fallopian Tube [0.06], Brain [0.06]"
140,hsa-mir-203a-3p,0.5304035032773173,"Skin [0.08], Mucosa [0.07], Vagina [0.06]"
141,hsa-mir-181c-3p,0.5280266519269148,"Brain [0.08], Thyroid [0.05], Heart [0.05]"
142,hsa-mir-330-5p,0.5277220284762655,"Brain [0.08], Whole Blood [0.07], Adrenal Gland [0.06]"
143,hsa-mir-369-5p,0.5271198583848781,"Adrenal Gland [0.08], Brain [0.07], Spleen [0.06]"
144,hsa-mir-324-3p,0.520862414589282,"Whole Blood [0.08], Kidney [0.05], Spleen [0.04]"
145,hsa-mir-187-3p,0.5201994844009321,"Testis [0.08], Esophagus [0.08], Kidney [0.07]"
146,hsa-mir-141-5p,0.5196805092393066,"Salivary Gland [0.08], Stomach [0.08], Thyroid [0.08]"
147,hsa-mir-154-5p,0.5161887863460644,"Adrenal Gland [0.08], Brain [0.06], Spleen [0.05]"
148,hsa-mir-3065-5p,0.513890586223746,"Lung [0.08], Brain [0.07], Mucosa [0.07]"
149,hsa-mir-589-5p,0.5077774892273329,"Whole Blood [0.08], Spleen [0.05], Testis [0.05]"
150,hsa-mir-181a-3p,0.5002908040353284,"Spleen [0.07], Brain [0.07], Lung [0.07]"
151,hsa-mir-223-3p,0.4999064266025325,"Whole Blood [0.07], Spleen [0.07], Lung [0.06]"
152,hsa-mir-494-3p,0.49920955505309855,"Adrenal Gland [0.07], Testis [0.06], Brain [0.05]"
153,hsa-mir-205-5p,0.4962828865402787,"Skin [0.07], Mucosa [0.07], Vagina [0.07]"
154,hsa-mir-708-3p,0.4952584457806847,"Ovary [0.07], Thyroid [0.06], Brain [0.06]"
155,hsa-mir-542-3p,0.491657465485568,"Testis [0.07], Fallopian Tube [0.07], Spleen [0.06]"
156,hsa-mir-296-5p,0.4882174937393865,"Whole Blood [0.07], Testis [0.06], Thyroid [0.05]"
157,hsa-mir-582-3p,0.4862250512186835,"Bladder [0.07], Brain [0.07], Prostate [0.07]"
158,hsa-mir-655-3p,0.48587994483585534,"Brain [0.07], Adrenal Gland [0.07], Spleen [0.05]"
159,hsa-mir-144-5p,0.48241972796392185,"Spleen [0.07], Lung [0.07], Kidney [0.06]"
160,hsa-mir-144-3p,0.4799277729709733,"Lung [0.07], Spleen [0.07], Omentum [0.06]"
161,hsa-mir-200a-5p,0.4761236671419393,"Stomach [0.07], Salivary Gland [0.07], Colon–Intestine [0.07]"
162,hsa-mir-329-3p,0.4757040005576434,"Brain [0.07], Adrenal Gland [0.06], Spleen [0.05]"
163,hsa-mir-185-5p,0.47448483083954857,"Whole Blood [0.07], Spleen [0.05], Lung [0.05]"
164,hsa-mir-133a-3p,0.4727544915180319,"Heart [0.07], Soft Tissues [0.07], Salivary Gland [0.05]"
165,hsa-mir-511-5p,0.47196916192488514,"Lung [0.07], Spleen [0.06], Omentum [0.06]"
166,hsa-mir-23a-5p,0.4719176935107808,"Skin [0.07], Omentum [0.07], Lung [0.06]"
167,hsa-mir-628-5p,0.47056749316651725,"Brain [0.07], Heart [0.05], Testis [0.05]"
168,hsa-mir-200b-5p,0.4701518443036239,"Salivary Gland [0.07], Stomach [0.07], Mucosa [0.06]"
169,hsa-mir-532-3p,0.46979646628118593,"Whole Blood [0.07], Kidney [0.06], Spleen [0.04]"
170,hsa-mir-141-3p,0.4693012435423575,"Stomach [0.07], Salivary Gland [0.06], Thyroid [0.06]"
171,hsa-mir-501-3p,0.46814156580515875,"Whole Blood [0.07], Kidney [0.06], Testis [0.05]"
172,hsa-mir-598-3p,0.4678721403945144,"Brain [0.07], Spleen [0.05], Adrenal Gland [0.05]"
