mature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,project_id,n_normal,n_tumor
hsa-mir-107,357.7654861696794,0.19096459921497608,0.09270483847396302,2.059920521501261,0.039406139517684,0.05341721134619387,TCGA-KICH,25,66
hsa-mir-10a-3p,64.66703022418778,1.0521184967150625,0.15065837587945452,6.983471649507814,2.879735812093624e-12,1.1212588374747516e-11,TCGA-KICH,25,66
hsa-mir-10b-3p,443.99664927539624,-0.20528423271031054,0.19127304144508384,-1.0732523054967442,0.2831579282138228,0.3290025451627275,TCGA-KICH,25,66
hsa-mir-10b-5p,1174938.7268232137,0.13325190305440376,0.21155218511641957,0.6298772238210337,0.5287749156117529,0.5725787547748568,TCGA-KICH,25,66
hsa-mir-1180-3p,73.46769040690994,-1.0049833767779097,0.17596743791255437,-5.711189460389417,1.1218926255062461e-08,3.2849016074822884e-08,TCGA-KICH,25,66
hsa-mir-122-5p,2.8983697567329494,1.9769570597176203,0.5030607088030644,3.929857818594911,8.499610587539632e-05,0.00016725040188384437,TCGA-KICH,25,66
hsa-mir-124-3p,1.8009021163565728,-2.0634185955887867,0.7650936666652571,-2.6969489952549446,0.006997798783109814,0.010898699381354009,TCGA-KICH,25,66
hsa-mir-1247-5p,10.088589650899475,-1.361344440261261,0.5063586080613116,-2.6884986619925786,0.007177412332603185,0.011131071668359176,TCGA-KICH,25,66
hsa-mir-1251-5p,28.719628629916894,-4.5595706862239505,0.4873572242767778,-9.355705546358125,8.304359493257385e-21,8.442765484811675e-20,TCGA-KICH,25,66
hsa-mir-125a-3p,22.650660970032753,-0.0475483593981379,0.14667848172058906,-0.3241672455317187,0.7458114185287654,0.7843878712112877,TCGA-KICH,25,66
hsa-mir-125a-5p,5990.106239614133,0.10970173512436568,0.12802449748273376,0.8568808101680758,0.39151075920455103,0.4436313865909154,TCGA-KICH,25,66
hsa-mir-125b-1-3p,5.753771400081913,0.06332846315669409,0.31242860493189756,0.20269739120237817,0.8393715623706929,0.8605321899934834,TCGA-KICH,25,66
hsa-mir-125b-2-3p,131.49754699636824,-0.29434825932702385,0.20390865988072363,-1.4435299584588654,0.1488712394927076,0.1816229121811033,TCGA-KICH,25,66
hsa-mir-125b-5p,8004.840927392049,0.9085153911792956,0.23709234279962274,3.8319052418623327,0.00012715471686510445,0.00024365772969962423,TCGA-KICH,25,66
hsa-mir-126-3p,19412.05466607346,-0.1666885200051979,0.11740268101228767,-1.419801648207266,0.1556654349981086,0.1886541364546614,TCGA-KICH,25,66
hsa-mir-126-5p,1559.5184663918037,0.17913905733637703,0.12891253801415617,1.3896170232619685,0.16464520364154378,0.19887836479473606,TCGA-KICH,25,66
hsa-mir-1269a,26.41705497186556,-5.791198473678739,0.4450015307740025,-13.013884387332242,1.0202137066925721e-38,2.87229397422678e-37,TCGA-KICH,25,66
hsa-mir-127-3p,803.8404419985993,-1.7521283968410961,0.23802191700781447,-7.36120613961601,1.8225586078598893e-13,8.134834761911214e-13,TCGA-KICH,25,66
hsa-mir-127-5p,245.86642639281203,-1.7865862092453926,0.22638632718979407,-7.891758444173105,2.979580257103721e-15,1.5146199640277247e-14,TCGA-KICH,25,66
hsa-mir-1271-5p,14.981848472134441,-0.9475941870345784,0.20041219382436987,-4.7282262069592305,2.2648977446639074e-06,5.279952704120956e-06,TCGA-KICH,25,66
hsa-mir-128-3p,608.4523299198856,-0.06575451284869341,0.10499456269673622,-0.6262658861546684,0.5311405580464303,0.5734437883333141,TCGA-KICH,25,66
hsa-mir-1287-5p,51.759275396255894,-1.3403154710522815,0.1448458828922529,-9.253390184720041,2.1748280086146724e-20,2.1513163544674867e-19,TCGA-KICH,25,66
hsa-mir-129-2-3p,1.8294047755675469,-1.2894524068389215,0.5687550488253359,-2.267148941362472,0.02338112868791971,0.03342770742101021,TCGA-KICH,25,66
hsa-mir-129-5p,184.13494816597418,0.0796110663279215,0.33757515276094185,0.23583212708874662,0.8135629373665341,0.8387719297919759,TCGA-KICH,25,66
hsa-mir-1296-5p,21.620529749167513,0.4771671273030594,0.21012121078112062,2.270913657546527,0.023152205314664838,0.033230224098695416,TCGA-KICH,25,66
hsa-mir-1298-3p,0.35639773360373467,1.2564337285041747,2.021619955689522,0.6214984794585874,0.5342716946394994,0.5751277654060494,TCGA-KICH,25,66
hsa-mir-1301-3p,29.88806078026497,0.3982153511113681,0.18879427358189765,2.1092554533367505,0.03492253767534894,0.04852786489302331,TCGA-KICH,25,66
hsa-mir-1307-3p,4071.2336105050263,0.902573041613473,0.17908100605140678,5.04002664221342,4.654670432852851e-07,1.1668557386466736e-06,TCGA-KICH,25,66
hsa-mir-1307-5p,1867.5124521887449,0.501782142870968,0.19842027959434957,2.528885373495146,0.011442539080893276,0.017024265461816825,TCGA-KICH,25,66
hsa-mir-130a-3p,222.7053258319643,-2.294839706353395,0.16988397924862872,-13.508276157075704,1.3975566019088648e-41,6.393821453733056e-40,TCGA-KICH,25,66
hsa-mir-130b-3p,16.13741778116708,0.4796498086459554,0.24594480517099124,1.9502335424913024,0.05114828958863989,0.06807372359797163,TCGA-KICH,25,66
hsa-mir-130b-5p,20.952283036178578,0.5525714232613226,0.25162255789388493,2.196032930777036,0.028089586425685882,0.03954149473769628,TCGA-KICH,25,66
hsa-mir-132-3p,443.7650941812141,-0.9483931659046746,0.16949294521009955,-5.595472807019007,2.200213332172918e-08,6.242465733141767e-08,TCGA-KICH,25,66
hsa-mir-132-5p,8.897455893122677,-1.521579641823599,0.19215580005471092,-7.918468458357085,2.4045392203110135e-15,1.2572305066197585e-14,TCGA-KICH,25,66
hsa-mir-133a-3p,21.01844955928573,-2.9203886620354824,0.2965338768128602,-9.848414938029197,6.963343927158035e-23,8.788220266689107e-22,TCGA-KICH,25,66
hsa-mir-133b,3.4231111632522118,-3.491104808170758,0.38232871869833995,-9.131160275002161,6.776902758716259e-20,6.200866024225377e-19,TCGA-KICH,25,66
hsa-mir-134-5p,240.57596120537625,-1.8217413628014894,0.25311080520958573,-7.197406532261694,6.136858813106836e-13,2.6424592065848258e-12,TCGA-KICH,25,66
hsa-mir-135a-5p,36.55726910437159,-1.9667210554162284,0.45819304278226447,-4.292341593564579,1.7679867571827558e-05,3.898091283908967e-05,TCGA-KICH,25,66
hsa-mir-135b-5p,15.502425983003468,-4.142434092106346,0.43256615727387704,-9.576417439156215,1.0046957443544993e-21,1.0815254189227845e-20,TCGA-KICH,25,66
hsa-mir-136-3p,16.573215510603266,-2.3361435996855215,0.2437738264157366,-9.583242114358155,9.404543850371692e-22,1.0430494088594059e-20,TCGA-KICH,25,66
hsa-mir-136-5p,39.73588971818292,-2.348605401672476,0.2357193495599084,-9.963566444830931,2.200250433363712e-23,2.9825616985596985e-22,TCGA-KICH,25,66
hsa-mir-137-3p,2.143613519302507,-0.1259670890998016,0.9238441544864896,-0.1363510160107245,0.8915437954881881,0.9064028587463245,TCGA-KICH,25,66
hsa-mir-138-5p,8.642797405119893,-3.3655807957448047,0.5832838820995379,-5.770056226533045,7.924508716838878e-09,2.3390082180347012e-08,TCGA-KICH,25,66
hsa-mir-139-3p,180.75389290336358,-0.3365938620465222,0.23454684422102406,-1.435081606680389,0.15126384425909625,0.18392879401604395,TCGA-KICH,25,66
hsa-mir-140-3p,8011.87958045437,0.08863243663275702,0.12607412038474503,0.703018481209896,0.48204423215300474,0.5310755996678624,TCGA-KICH,25,66
hsa-mir-140-5p,271.434160705197,-0.1703425795367052,0.12351156285423394,-1.3791630159982702,0.1678444981926983,0.20207594190305125,TCGA-KICH,25,66
hsa-mir-141-3p,4891.515357804375,2.5514172085903413,0.34285852105899495,7.441603611628845,9.947031952833838e-14,4.608371765490107e-13,TCGA-KICH,25,66
