,mature_name,n_projects_up,n_projects_down,median_log2fc,median_padj,binom_p_up,binom_p_down,Binomial_result
287,hsa-mir-501-3p,4,2,0.383,5.64e-08,0.34375,0.890625,NS
288,hsa-mir-501-5p,3,3,0.651,2.91e-07,0.65625,0.65625,NS
289,hsa-mir-502-3p,2,1,-0.46,1.98e-10,0.5,0.875,NS
290,hsa-mir-503-5p,10,1,1.4185,2.9300755e-09,0.005859375,0.99951171875,UP
291,hsa-mir-504-5p,0,5,-1.129,5.36e-05,1.0,0.03125,DOWN
292,hsa-mir-505-3p,0,0,-0.14250000000000002,4.3879999999999997e-10,,,NS
293,hsa-mir-505-5p,1,1,-0.006500000000000006,4.405e-10,0.75,0.75,NS
294,hsa-mir-508-3p,6,5,0.851,3.68e-06,0.5,0.7255859375,NS
295,hsa-mir-508-5p,4,4,-0.35550000000000004,3.625164e-05,0.63671875,0.63671875,NS
296,hsa-mir-509-3-5p,1,4,-2.269,4.02e-11,0.96875,0.1875,NS
297,hsa-mir-509-3p,6,4,1.881,4.82e-07,0.376953125,0.828125,NS
298,hsa-mir-511-5p,1,4,-1.1800000000000002,4.7651765e-13,0.96875,0.1875,NS
299,hsa-mir-512-3p,7,1,2.6814999999999998,5.06e-05,0.03515625,0.99609375,UP
300,hsa-mir-514a-3p,4,6,-1.338,5.53e-12,0.828125,0.376953125,NS
301,hsa-mir-514a-5p,2,4,-3.0484999999999998,8.09e-09,0.890625,0.34375,NS
302,hsa-mir-515-5p,2,0,4.452999999999999,0.00010572000000000001,0.25,1.0,NS
303,hsa-mir-516b-5p,2,1,1.775,1.7351e-05,0.5,0.875,NS
304,hsa-mir-517a-3p,3,1,2.023,0.000818,0.3125,0.9375,NS
305,hsa-mir-517b-3p,3,1,2.023,0.000808,0.3125,0.9375,NS
306,hsa-mir-518b,3,1,2.46,0.000196,0.3125,0.9375,NS
307,hsa-mir-519a-5p,8,1,3.208,3.86e-10,0.01953125,0.998046875,UP
308,hsa-mir-520a-3p,3,1,3.492,4.11e-06,0.3125,0.9375,NS
309,hsa-mir-520f-3p,3,0,5.566,9.96e-07,0.125,1.0,NS
310,hsa-mir-532-3p,1,4,0.454,1.22e-09,0.96875,0.1875,NS
311,hsa-mir-532-5p,3,1,-0.458,6.38e-09,0.3125,0.9375,NS
312,hsa-mir-539-3p,2,3,-0.11200000000000004,0.00020825,0.8125,0.5,NS
313,hsa-mir-539-5p,4,3,-0.4,7.36e-08,0.5,0.7734375,NS
314,hsa-mir-542-3p,2,1,0.389,2.23845e-06,0.5,0.875,NS
315,hsa-mir-543,2,1,-0.14449999999999996,0.0006325,0.5,0.875,NS
