MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT525767,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SOD2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT526642,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,NME6,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT527209,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,XIRP2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT527262,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TMEM196,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT527477,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CLEC12B,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT528377,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZMYM1,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT530006,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TNFAIP8L1,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT530594,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ABHD15,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT530992,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,EXO5,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT531482,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TNFRSF10B,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT531782,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TXK,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT531842,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MTPAP,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT532056,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FHDC1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT532621,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SPTLC2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT532925,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZNF385A,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT533095,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,YOD1,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT533884,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TBL1XR1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT534014,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SUV420H1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT534570,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RPS6KA5,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT534634,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RNASEH1,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT535036,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PRKAR1A,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT536309,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,LIMA1,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT536449,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KMT2B,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT536500,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KIAA0922,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT536545,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KCNJ8,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT537453,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FBXL7,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT537737,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ELAVL2,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT538043,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,DNAJB6,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT538719,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CAPRIN2,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT539430,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ADAT2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT540281,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FAM89A,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT541094,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RLIM,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT541289,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,GLO1,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT542066,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SLC25A46,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT542148,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,DIS3L,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT542274,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,HSPA4L,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT543191,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FICD,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT543512,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PLS1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT543586,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RPF2,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT544635,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CSDE1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT545209,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,HIST1H2BD,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT546257,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TNFRSF21,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT546300,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TMEM200C,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT546699,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RORA,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT546830,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RAP2C,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT547088,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PLRG1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT547792,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KATNAL1,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT548320,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,EPHA4,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT548398,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ENPP5,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
